Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg
2019,4.90%,4.60%,4.20%,3.70%,4.20%,,,,,,,,
2018,4.60%,4.60%,4.30%,3.90%,3.60%,4.20%,4.40%,4.30%,3.80%,4%,3.70%,4%,4.10%
2017,5.10%,5%,4.50%,4.20%,4.40%,4.60%,5.10%,5.20%,4.60%,4.40%,4.20%,4.10%,4.60%
2016,5.60%,5.50%,5.40%,4.90%,4.60%,5.20%,5.60%,5.60%,5.40%,5.30%,4.70%,4.50%,5.20%
2015,6.90%,6.60%,6%,5.70%,5.80%,5.60%,5.80%,5.50%,5%,5.20%,5.20%,5.20%,5.70%
2014,8.30%,8.40%,8.10%,7%,7.30%,7.20%,7.60%,7.30%,6.60%,6.60%,6.60%,6.10%,7.30%
2013,9.90%,9.40%,8.70%,8.20%,8.60%,9.10%,9.20%,9.10%,8.70%,9%,8.20%,7.80%,8.80%
2012,10%,10.10%,9.60%,8.80%,9.20%,9.70%,9.90%,9.40%,8.70%,9%,8.60%,9%,9.30%
2011,9.40%,9.20%,8.60%,8.30%,8.50%,9.10%,9.30%,9.30%,9.20%,9.50%,9.30%,9.30%,9.10%
2010,10.50%,10.30%,10%,9.50%,9.20%,9.40%,9.70%,9.50%,9.20%,9.20%,9.20%,8.80%,9.50%
2009,7.90%,8.60%,8.70%,8.30%,8.90%,9.50%,9.90%,10%,10%,10.30%,9.90%,9.90%,9.30%
2008,5.60%,5.40%,5%,4.50%,5%,5.20%,5.70%,5.90%,5.80%,6.20%,6.30%,6.90%,5.60%
2007,5.30%,5%,4.50%,4.50%,4.70%,5.10%,5.70%,5.30%,5%,5.10%,4.90%,5.10%,5%
2006,5.50%,5.70%,5.30%,5.10%,4.90%,4.90%,5.50%,5%,4.50%,4.40%,4.50%,4.40%,5%
2005,6.20%,6.30%,5.60%,5.50%,5.40%,5.50%,5.90%,5.50%,6%,5.90%,6.10%,5.50%,5.80%
2004,8.60%,8.10%,8%,7.10%,6.90%,7.20%,7.30%,6.60%,6.40%,6.40%,6.10%,6%,7.10%
2003,9.10%,8.80%,8.30%,8.10%,8%,8.50%,8.50%,8.30%,8.30%,8.30%,8.20%,7.70%,8.30%
2002,8.30%,8.20%,8.20%,7.90%,7.60%,7.70%,8%,7.80%,7.50%,8.10%,8.40%,8.50%,8%
2001,5.60%,5.50%,5.30%,5%,4.80%,5.20%,5.60%,6.10%,6.30%,7%,7.30%,7.50%,5.90%
2000,6.50%,6.40%,6.30%,5.60%,5.70%,5.50%,5.90%,5.80%,5.40%,5.50%,5.40%,5%,5.80%
1999,7.60%,7.70%,6.90%,6.70%,6.40%,6.80%,7.30%,6.80%,6.70%,6.50%,6.10%,5.80%,6.80%
1998,9.10%,9%,8.90%,7.70%,7.60%,7.60%,7.90%,7.60%,7.60%,7.80%,7.50%,7.20%,7.90%
1997,10.30%,10.30%,10.30%,9.70%,9.50%,9.70%,9.80%,9.30%,9%,8.80%,8.30%,8.10%,9.40%
1996,8.90%,8.80%,9.10%,8.70%,8.80%,8.40%,9.10%,8.50%,8.30%,8.70%,9%,9.20%,8.80%
1995,8.30%,8.10%,8.10%,8.20%,8%,8%,8.50%,8.40%,8.20%,8.20%,8%,8%,8.20%
1994,10.60%,10.20%,9.80%,9.20%,8.60%,8.70%,9%,8.60%,7.90%,8%,7.60%,7.10%,8.80%
1993,12.30%,11.90%,10.80%,10.10%,10%,10.10%,10.20%,9.90%,9.70%,10.20%,9.90%,9.80%,10.40%
1992,10.70%,11%,10.60%,10.10%,10.70%,11.50%,11.80%,11.50%,11.30%,11.20%,11.20%,11.30%,11.10%
1991,8.10%,8.30%,8.40%,8.20%,8.70%,8.70%,8.90%,8.80%,8.60%,9%,9.20%,9.50%,8.70%
1990,7.20%,7.20%,6.70%,6.40%,6.50%,6.10%,6.90%,6.70%,7%,7.30%,7.20%,7.10%,6.90%
1989,6.80%,6.60%,6.10%,6.70%,6.70%,6.80%,6.90%,6.70%,6.80%,6.90%,7%,6.70%,6.70%
1988,5.30%,4.90%,4.70%,4.20%,4.70%,4.50%,5.30%,5.40%,5.30%,5.60%,5.70%,5.70%,5.10%
1987,6.90%,6.50%,6.10%,5.40%,5.60%,5.50%,5.80%,5.30%,5.10%,5.70%,5.60%,4.90%,5.70%
1986,7.70%,8.40%,8.10%,7.80%,8%,7.60%,7.40%,6.90%,6.80%,6.80%,6.50%,6%,7.30%
1985,9.30%,9%,8.80%,8.30%,8.20%,8%,8.10%,7.60%,7.60%,8%,7.50%,7.30%,8.10%
1984,9.10%,8.90%,8.60%,8.40%,8.40%,8.90%,10%,9.80%,9%,9%,8.40%,8.20%,8.90%
1983,10.20%,10.10%,10%,9.40%,9.50%,10.10%,10%,10.10%,9.50%,9.10%,8.60%,8.50%,9.60%
1982,9.40%,9.50%,9.30%,8.90%,9.20%,9.40%,9.90%,9.50%,9.30%,9.60%,9.80%,9.70%,9.50%
1981,9.40%,9.40%,9.40%,8.70%,9%,9%,8.90%,8.40%,8.20%,8.70%,8.90%,9%,8.90%
1980,9%,8.70%,8.10%,8.30%,8.40%,8.40%,9%,8.70%,8.30%,8.60%,8.50%,8.10%,8.50%
1979,8.80%,9%,8.80%,8.30%,8.30%,9.10%,9.40%,9.40%,8.80%,8.80%,8.30%,7.90%,8.80%
1978,10.10%,9.80%,9.30%,8.60%,8.50%,8.80%,9.40%,8.90%,9.10%,8.90%,8.80%,8.40%,9%
1977,11%,10.70%,10.50%,9.40%,8.90%,10.20%,10.30%,10.40%,10.30%,10.20%,10.40%,9.30%,10.10%
1976,11.50%,11.60%,10.70%,10.30%,9.90%,11.30%,11.90%,11.60%,11.10%,11%,11.10%,10.70%,11.10%
LABOR FORCE,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg
2019,4104300,4123200,4127600,4092700,4083000,,,,,,,,
2018,4103400,4157200,4144100,4109600,4094500,4115200,4148500,4102600,4098400,4127100,4113700,4120000,4119500
2017,4120500,4157100,4148200,4126400,4117800,4125900,4166900,4140000,4142300,4128400,4105800,4097100,4131400
2016,4121800,4155200,4153500,4114200,4091500,4111200,4154800,4136700,4134700,4137100,4107000,4095100,4126100
2015,4116700,4134100,4113700,4100600,4110100,4097000,4125100,4096000,4073600,4106600,4102100,4106800,4106900
2014,4066600,4108500,4109100,4058300,4074600,4079600,4121400,4098000,4078200,4111100,4102600,4083700,4091000
2013,4070700,4074200,4055300,4047200,4068500,4089200,4126500,4103900,4099500,4107000,4095400,4077200,4084500
2012,3993700,4032300,4024300,3989900,4016800,4027500,4046500,4017900,4018000,4050600,4017000,4035100,4022500
2011,3933400,3951100,3945400,3936900,3935200,3938700,3974000,3978800,3979200,3997400,3991200,3992700,3962800
2010,3950500,3966300,3964500,3976300,3948300,3939500,3969500,3957000,3941100,3941000,3933300,3917500,3950400
2009,3954100,3976500,3958800,3942000,3936400,3960700,4017200,3994700,3952700,3962400,3946900,3926800,3960800
2008,3904700,3908300,3904200,3891900,3888400,3907100,3956400,3951000,3938000,3961200,3951500,3951700,3926200
2007,3844300,3852200,3844200,3823000,3821100,3851100,3902200,3864600,3858400,3875200,3883100,3883800,3858600
2006,3799200,3824800,3816400,3804400,3792400,3805700,3850600,3824700,3798400,3820200,3828200,3831900,3816400
2005,3772100,3794000,3776500,3781500,3772100,3779200,3832300,3818500,3820000,3832700,3831800,3812700,3802000
2004,3682000,3684200,3715600,3707800,3707700,3747600,3803700,3778600,3753600,3778400,3773400,3774900,3742300
2003,3719300,3723900,3698000,3681000,3655700,3676800,3691300,3673500,3660800,3681000,3679400,3659900,3683400
2002,3676200,3712700,3709200,3695300,3680800,3686200,3719100,3706100,3692200,3718200,3713300,3715700,3702100
2001,3689400,3701800,3700100,3663200,3638200,3648400,3703800,3691500,3682300,3667400,3670400,3677200,3677800
2000,3643900,3668400,3677200,3662000,3649500,3656400,3686300,3670600,3652900,3674400,3674000,3680000,3666300
1999,3589500,3611300,3591800,3574700,3561400,3594100,3654500,3631300,3610200,3628600,3624100,3624900,3608000
1998,3532000,3559000,3567800,3522300,3515100,3529200,3583700,3567500,3558700,3583800,3581300,3584300,3557100
1997,3465800,3489900,3513500,3490600,3484800,3505700,3558200,3539000,3513500,3522300,3513700,3516400,3509400
1996,3308700,3343300,3366500,3348500,3354200,3356100,3419900,3391300,3378300,3417700,3431200,3439900,3379600
1995,3259000,3278700,3286500,3281200,3261700,3270700,3331400,3316800,3293000,3310500,3304000,3301600,3291300
1994,3306100,3315700,3305800,3281500,3257900,3264300,3305200,3288500,3245600,3272500,3260300,3245700,3279100
1993,3315300,3325600,3297800,3261700,3259500,3279000,3331500,3311100,3269000,3300400,3292300,3292300,3294600
1992,3278100,3296600,3289000,3267000,3274600,3315400,3366600,3342700,3305800,3304100,3300900,3305600,3303900
1991,3266700,3281900,3286200,3267800,3260800,3272100,3296700,3274000,3249800,3268800,3265300,3261100,3270900
1990,3341000,3351100,3342100,3315700,3318500,3316700,3364700,3346200,3322600,3330600,3311500,3299900,3330000
1989,3309400,3317800,3312400,3326900,3320800,3338300,3375000,3356500,3324400,3342100,3345600,3338300,3334000
1988,3230700,3230900,3229700,3210300,3206900,3222100,3275300,3275100,3248200,3277800,3289500,3285500,3248500
1987,3240200,3244300,3241300,3214900,3221400,3229800,3280900,3265200,3223600,3262900,3260300,3239900,3243700
1986,3238500,3272800,3277600,3256400,3250000,3255900,3293600,3267500,3236100,3251200,3239300,3223300,3255200
1985,3111000,3121900,3128100,3169600,3191600,3201300,3261100,3250900,3230300,3256600,3245400,3239600,3200600
1984,3065000,3082500,3083000,3069300,3068400,3097300,3170000,3140100,3103000,3113400,3092100,3089100,3097800
1983,3050000,3048000,3055400,3036900,3024800,3071400,3114300,3114400,3076500,3077200,3068700,3063900,3066800
1982,3070600,3088600,3088900,3063800,3064900,3068900,3114600,3094300,3054300,3068700,3063900,3051100,3074400
1981,3075800,3096800,3111800,3096300,3088700,3086100,3127800,3101900,3063000,3090900,3085800,3075700,3091700
1980,3058600,3064000,3044500,3020000,3024800,3031200,3091400,3075500,3037700,3062500,3058300,3046800,3051300
1979,3041800,3064900,3065900,3039200,3022500,3061800,3116800,3107800,3075400,3074600,3053300,3043700,3064000
1978,3049000,3050500,3051000,3029200,3014100,3033400,3077000,3067400,3055600,3068700,3066200,3049500,3051000
1977,3058900,3066900,3066200,3028800,3002300,3052400,3088200,3086200,3060000,3072500,3076400,3042700,3058500
1976,3114200,3125100,3104400,3082800,3050300,3106000,3181500,3144900,3078600,3089700,3088100,3073700,3103300
EMPLOYED,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg
2019,3904300,3935100,3954100,3941100,3911900,,,,,,,,
2018,3913400,3964000,3964600,3949200,3945700,3941800,3967100,3925800,3941100,3963800,3959700,3956200,3949400
2017,3911600,3949200,3962100,3951500,3937200,3936200,3954300,3926300,3951900,3945800,3935100,3930000,3940900
2016,3892300,3926800,3931200,3913800,3902400,3898500,3920100,3904200,3911800,3917700,3913300,3909200,3911800
2015,3833500,3861900,3866600,3868200,3872700,3867500,3885500,3872300,3869900,3892600,3887700,3895300,3872800
2014,3728700,3762000,3777800,3775600,3778700,3785200,3807500,3798600,3810600,3840800,3833400,3833500,3794400
2013,3668000,3691600,3703800,3716800,3717800,3715400,3745000,3729900,3741300,3739300,3758000,3760100,3723900
2012,3594800,3624000,3636900,3637300,3645700,3638100,3645400,3638500,3666800,3685000,3671800,3673600,3646500
2011,3563900,3587000,3604800,3608400,3599400,3581600,3604600,3610000,3611600,3619700,3621400,3619700,3602700
2010,3536100,3558000,3569100,3598300,3584400,3571100,3583500,3582000,3579500,3578700,3569700,3572300,3573600
2009,3639700,3634900,3616300,3613800,3585400,3584100,3618300,3597200,3559200,3555700,3557100,3536600,3591500
2008,3685700,3698000,3707700,3716700,3695900,3705300,3730400,3716000,3708600,3717100,3703000,3680900,3705500
2007,3641400,3658300,3669600,3649900,3641200,3654300,3678000,3659600,3663800,3676900,3693100,3685300,3664300
2006,3589000,3605000,3615400,3611800,3607600,3619300,3639400,3634800,3626400,3652200,3654200,3664100,3626600
2005,3537500,3554000,3563500,3574200,3567900,3572300,3605700,3607500,3589900,3605400,3597400,3604700,3581700
2004,3366000,3384200,3416700,3443100,3453200,3476500,3527200,3527700,3514600,3537900,3543700,3547200,3478200
2003,3380200,3394500,3389700,3384200,3364600,3365900,3378900,3368000,3357100,3374300,3377000,3377100,3376000
2002,3372500,3408900,3406200,3403500,3401500,3400600,3421700,3418500,3415000,3418100,3400400,3399900,3405600
2001,3482800,3496800,3502500,3480000,3462000,3459600,3497500,3464500,3451900,3409600,3401800,3401600,3459200
2000,3407500,3433600,3444300,3455900,3442000,3456800,3468300,3456500,3456500,3472700,3475100,3494500,3455300
1999,3315700,3334300,3343600,3334600,3333700,3349700,3387900,3385400,3368300,3391700,3402100,3416300,3363600
1998,3211400,3237300,3251300,3252000,3249500,3260900,3301300,3296900,3288800,3303300,3313300,3326200,3274300
1997,3107200,3129300,3153100,3151200,3152500,3164600,3209700,3208700,3196000,3213000,3222800,3230500,3178200
1996,3015700,3048300,3061200,3055800,3058800,3074100,3108100,3104600,3096800,3120100,3120800,3124200,3082400
1995,2989600,3012500,3019300,3011500,3000300,3010400,3048900,3039700,3024100,3040300,3039600,3036600,3022700
1994,2954700,2976900,2980200,2978000,2977800,2979500,3007600,3006300,2987700,3009100,3013200,3014700,2990500
1993,2909000,2931300,2940300,2931900,2932600,2948000,2991400,2982200,2953400,2963200,2965900,2971000,2951700
1992,2927600,2933000,2942000,2938100,2924200,2935100,2970800,2958400,2930700,2932600,2930300,2932600,2937900
1991,3002600,3009000,3009600,3001400,2976100,2987200,3003700,2985200,2969600,2974100,2963500,2950200,2986000
1990,3101300,3110900,3117000,3103100,3104200,3113100,3133200,3120500,3089300,3086500,3071700,3065000,3101300
1989,3085100,3099200,3109800,3105200,3097000,3112200,3141900,3131300,3097100,3111900,3112700,3114700,3109800
1988,3059900,3073400,3079000,3076400,3057700,3075800,3102400,3098200,3075600,3092600,3101400,3097500,3082500
1987,3016400,3033100,3043400,3041200,3042200,3051900,3089900,3090600,3059800,3075800,3077800,3079900,3058500
1986,2990500,2998500,3011400,3001400,2991400,3008700,3048700,3040600,3016300,3029900,3027400,3029900,3016200
1985,2822800,2840300,2852200,2906700,2929700,2943800,2996300,3002600,2983500,2995900,3001200,3002400,2939800
1984,2785300,2806800,2816900,2812100,2810700,2823100,2852100,2833700,2823300,2832100,2831800,2835100,2821900
1983,2737500,2740700,2749300,2750000,2736700,2761300,2801600,2799100,2785200,2796200,2804000,2803100,2772100
1982,2781700,2795200,2801700,2790100,2783800,2780400,2805900,2799500,2769100,2772600,2762700,2754200,2783100
1981,2786200,2805100,2820400,2828400,2812100,2808800,2849800,2841200,2810900,2821000,2811500,2800000,2816300
1980,2784300,2796400,2797700,2770500,2769600,2777100,2814200,2807800,2785800,2798200,2798900,2798600,2791600
1979,2774700,2788900,2794800,2786600,2770800,2784700,2824700,2816600,2803400,2803000,2798600,2801900,2795700
1978,2742400,2752000,2767400,2769000,2757100,2767900,2786500,2793100,2778200,2794500,2797100,2793400,2774900
1977,2723700,2740200,2745600,2745600,2734600,2740800,2768700,2765200,2744800,2758200,2755200,2760300,2748600
1976,2757200,2762400,2771000,2764700,2748500,2755500,2801500,2779400,2737000,2749600,2744300,2743500,2759500
UNEMPLOYED,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg
2019,200000,188100,173600,151600,171100,,,,,,,,
2018,190100,193100,179500,160400,148800,173400,181500,176800,157200,163300,154100,163800,170200
2017,208900,207800,186100,174900,180600,189600,212700,213700,190400,182700,170700,167100,190400
2016,229600,228400,222300,200400,189100,212700,234700,232500,222900,219400,193800,186000,214300
2015,283200,272200,247100,232400,237400,229500,239600,223700,203700,214000,214500,211600,234100
2014,337900,346500,331300,282700,296000,294400,313900,299400,267600,270300,269200,250100,296600
2013,402600,382500,351500,330400,350700,373800,381500,373900,358200,367600,337400,317100,360600
2012,398900,408300,387300,352600,371100,389400,401100,379400,351200,365700,345200,361500,376000
2011,369500,364100,340600,328400,335800,357100,369500,368700,367600,377800,369800,373000,360100
2010,414400,408400,395400,377900,363900,368400,385900,375000,361700,362400,363700,345200,376900
2009,314300,341600,342500,328300,351000,376600,398900,397500,393500,406700,389800,390200,369200
2008,219000,210200,196400,175200,192500,201800,226000,234900,229400,244000,248500,270800,220700
2007,203000,193900,174600,173200,179900,196800,224200,205100,194600,198200,189900,198500,194300
2006,210200,219700,200900,192600,184800,186300,211200,189900,172000,168000,174000,167700,189800
2005,234500,240000,213000,207300,204200,207000,226700,211000,230100,227300,234300,208000,220300
2004,315900,300000,298900,264600,254500,271100,276400,250800,239000,240500,229700,227700,264100
2003,339100,329400,308300,296800,291100,310900,312400,305500,303700,306700,302400,282800,307400
2002,303700,303800,303000,291800,279300,285600,297400,287700,277200,300100,312900,315800,296500
2001,206500,205000,197600,183200,176300,188800,206200,227000,230400,257800,268500,275600,218600
2000,236500,234800,232800,206100,207600,199600,218000,214200,196500,201700,198900,185600,211000
1999,273800,277000,248100,240200,227700,244400,266600,245900,241900,237000,222000,208600,244400
1998,320500,321600,316500,270400,265700,268300,282400,270600,269900,280500,268000,258100,282700
1997,358600,360600,360400,339500,332300,341100,348500,330300,317500,309400,290900,285900,331200
1996,293000,294900,305300,292800,295400,282000,311800,286700,281500,297700,310400,315800,297300
1995,269400,266200,267200,269700,261400,260300,282500,277200,268900,270200,264400,265000,268500
1994,351400,338800,325600,303500,280100,284900,297600,282200,257800,263300,247100,231000,288600
1993,406200,394400,357500,329800,326900,331000,340100,328900,315600,337200,326400,321300,343000
1992,350500,363600,347000,328900,350400,380300,395800,384300,375100,371500,370700,373000,365900
1991,264100,272900,276700,266400,284700,284900,293100,288800,280100,294700,301800,310900,284900
1990,239700,240200,225100,212600,214300,203600,231500,225700,233300,244100,239800,234900,228700
1989,224300,218700,202600,221700,223900,226100,233200,225200,227200,230200,233000,223600,224100
1988,170800,157500,150600,133900,149200,146300,172900,176900,172700,185200,188100,188000,166000
1987,223800,211200,197900,173700,179200,178000,191000,174700,163800,187100,182500,160000,185200
1986,248000,274300,266200,255000,258600,247200,244900,226900,219800,221400,211800,193400,239000
1985,288100,281600,275900,262900,261900,257500,264800,248400,246800,260700,244200,237200,260800
1984,279700,275700,266100,257200,257700,274200,317900,306400,279600,281300,260300,254000,275900
1983,312500,307300,306100,286900,288100,310100,312700,315300,291300,281000,264800,260800,294700
1982,289000,293500,287200,273700,281100,288500,308700,294800,285200,296100,301200,296900,291300
1981,289600,291700,291400,267900,276500,277300,278000,260600,252100,270000,274300,275700,275400
1980,274300,267600,246800,249400,255100,254100,277200,267700,251900,264200,259400,248200,259700
1979,267100,276000,271100,252600,251600,277100,292200,291100,272000,271600,254600,241900,268200
1978,306600,298500,283500,260100,256900,265500,290400,274200,277400,274300,269100,256100,276100
1977,335200,326700,320500,283200,267700,311600,319500,320900,315200,314300,321300,282400,309900
1976,357000,362700,333300,318100,301800,350500,380000,365500,341600,340100,343900,330200,343700
